"","zip","city","state","latitude","longitude"
"123","00763","Monserrate","PR",18.452175,-66.399836
"124","00764","Vega Baja","PR",18.452084,-66.397138
"125","00765","Vieques","PR",18.125664,-65.45603
"126","00766","Villalba","PR",18.126023,-66.48208
"127","00767","Yabucoa","PR",18.072752,-65.89703
"128","00768","Yauco","PR",18.030715,-66.856181
"129","00769","Coamo","PR",18.092813,-66.3611
"130","00771","Las Piedras","PR",18.18744,-65.87088
"131","00772","Loiza","PR",18.427674,-65.87605
"132","00773","Luquillo","PR",18.361344,-65.72133
"133","00775","Culebra","PR",18.311149,-65.29257
"134","00777","Juncos","PR",18.224088,-65.91316
"135","00778","Gurabo","PR",18.258628,-65.97791
"136","00780","Coto Laurel","PR",18.068538,-66.55939
"137","00782","Comerio","PR",18.223348,-66.2267
"138","00783","Corozal","PR",18.304874,-66.32305
"139","00784","Guayama","PR",17.984137,-66.12779
"140","00785","Guayama","PR",18.018822,-66.795603
"141","00786","La Plata","PR",18.128092,-66.268717
"142","00791","Humacao","PR",18.147257,-65.82269
"143","00792","Humacao","PR",18.138029,-65.788499
"144","00794","Barranquitas","PR",18.204294,-66.31058
"145","00795","Juana Diaz","PR",18.036253,-66.50289
"146","00801","St Thomas","VI",18.322285,-64.963715
"147","00802","St Thomas","VI",18.322285,-64.963715
"148","00803","St Thomas","VI",18.322285,-64.963715
"149","00804","St Thomas","VI",18.322285,-64.963715
"150","00805","St Thomas","VI",18.322285,-64.963715
"151","00820","Christiansted","VI",17.734211,-64.734694
"152","00821","Christiansted","VI",17.734211,-64.734694
"153","00822","Christiansted","VI",17.734211,-64.734694
"154","00823","Christiansted","VI",17.734211,-64.734694
"155","00824","Christiansted","VI",17.734211,-64.734694
"156","00830","St John","VI",18.32816,-64.740737
"157","00831","St John","VI",18.32816,-64.740737
"158","00840","Frederiksted","VI",17.734211,-64.734694
"159","00841","Frederiksted","VI",17.734211,-64.734694
"160","00850","Kingshill","VI",17.734211,-64.734694
"161","00851","Kingshill","VI",17.734211,-64.734694
"162","00901","San Juan","PR",18.465426,-66.10786
"163","00902","San Juan","PR",18.410462,-66.060533
"164","00906","San Juan","PR",18.46454,-66.10079
"165","00907","San Juan","PR",18.451131,-66.07798
"166","00908","San Juan","PR",18.410462,-66.060533
"167","00909","San Juan","PR",18.442282,-66.06764
"168","00910","San Juan","PR",18.410462,-66.060533
"169","00911","San Juan","PR",18.45009,-66.0577
"170","00912","San Juan","PR",18.445946,-66.05928
"171","00913","San Juan","PR",18.450907,-66.04256
"172","00914","San Juan","PR",18.410462,-66.060533
"173","00915","San Juan","PR",18.436995,-66.04888
"174","00916","San Juan","PR",18.410462,-66.060533
